homeTeam,awayTeam,homeScore,awayScore,year,winner
Wales,Italy,23,15,11/11/2014,Wales
France,England,26,24,11/11/2014,France
Ireland,Scotland,28,6,11/11/2014,Ireland
Ireland,Wales,26,3,11/11/2014,Ireland
Scotland,England,0,20,11/11/2014,England
France,Italy,30,10,11/11/2014,France
Wales,France,27,6,11/11/2014,Wales
Italy,Scotland,20,21,11/11/2014,Scotland
England,Ireland,13,10,11/11/2014,England
Ireland,Italy,46,7,11/11/2014,Ireland
Scotland,France,17,19,11/11/2014,France
England,Wales,29,18,11/11/2014,England
Italy,England,11,52,11/11/2014,England
Wales,Scotland,51,3,11/11/2014,Wales
France,Ireland,20,22,11/11/2014,Ireland
Wales,England,16,21,11/11/2015,England
Italy,Ireland,3,26,11/11/2015,Ireland
France,Scotland,15,8,11/11/2015,France
England,Italy,47,17,11/11/2015,England
Ireland,France,18,11,11/11/2015,Ireland
Scotland,Wales,23,26,11/11/2015,Wales
Scotland,Italy,19,22,11/11/2015,Italy
France,Wales,13,20,11/11/2015,Wales
Ireland,England,19,9,11/11/2015,Ireland
Wales,Ireland,23,16,11/11/2015,Wales
England,Scotland,25,13,11/11/2015,England
Italy,France,0,29,11/11/2015,France
Italy,Wales,20,61,11/11/2015,Wales
Scotland,Ireland,10,40,11/11/2015,Ireland
England,France,55,35,11/11/2015,England
France,Italy,23,21,11/11/2016,France
Scotland,England,9,15,11/11/2016,England
Ireland,Wales,16,16,11/11/2016,D
France,Ireland,10,9,11/11/2016,France
Wales,Scotland,27,23,11/11/2016,Wales
Italy,England,9,40,11/11/2016,England
Wales,France,19,10,11/11/2016,Wales
Italy,Scotland,20,36,11/11/2016,Scotland
England,Ireland,21,10,11/11/2016,England
Ireland,Italy,58,15,11/11/2016,Ireland
England,Wales,25,21,11/11/2016,England
Scotland,France,29,18,11/11/2016,Scotland
Wales,Italy,67,14,11/11/2016,Wales
Ireland,Scotland,35,25,11/11/2016,Ireland
France,England,21,31,11/11/2016,England
Scotland,Ireland,27,22,11/11/2017,Scotland
England,France,19,16,11/11/2017,England
Italy,Wales,7,33,2017,11/11/Wales
Italy,Ireland,10,63,11/11/2017,Ireland
Wales,England,16,21,11/11/2017,England
France,Scotland,22,16,11/11/2017,France
Scotland,Wales,29,13,11/11/2017,Scotland
Ireland,France,19,9,11/11/2017,Ireland
England,Italy,36,15,11/11/2017,England
Wales,Ireland,22,9,11/11/2017,Wales
Italy,France,18,40,11/11/2017,France
England,Scotland,61,21,11/11/2017,England
Scotland,Italy,29,0,11/11/2017,Scotland
France,Wales,20,18,11/11/2017,France
Ireland,England,13,9,11/11/2017,Ireland
